"2022-11-23, 19:00", ,Žalgiris,2 : 3,K. Žalgiris,LFF stadionas
"2022-11-23, 19:00", ,Banga,2 : 3,Šiauliai,Gargždų m. stadionas
"2022-11-23, 19:00", ,Hegelmann,2 : 2,Riteriai,LFF Kauno treniruočių centro st.
"2022-11-23, 19:00", ,Panevėžys,2 : 1,Jonava,„Aukštaitijos“ stadionas
"2022-11-23, 19:00", ,Sūduva,1 : 1,Džiugas,Marijampolės futbolo arenos maniežas

"2022-11-20, 17:55", ,Žalgiris,5 : 0,Šiauliai,LFF stadionas

"2022-11-17, 18:00", ,Banga,0 : 2,Žalgiris,Gargždų m. stadionas

"2022-11-13, 19:30", ,Riteriai,2 : 1,Panevėžys,„Sportima“
"2022-11-13, 17:55", ,Šiauliai,3 : 0,Žalgiris,Šiaulių sav. stadionas
"2022-11-13, 13:00", ,Džiugas,0 : 3,K. Žalgiris,Telšių m. centrinis stadionas
"2022-11-13, 13:00", ,Hegelmann,2 : 0,Sūduva,LFF Kauno treniruočių centro st.
"2022-11-11, 18:00", ,Banga,2 : 0,Jonava,Gargždų m. stadionas

"2022-11-09, 19:00", ,Žalgiris,0 : 1,Panevėžys,LFF stadionas

"2022-11-08, 19:30", ,Riteriai,2 : 0,K. Žalgiris,„Sportima“

"2022-11-06, 17:55", ,Sūduva,1 : 2,Žalgiris,Marijampolės futbolo arenos stadionas

"2022-11-05, 14:00", ,K. Žalgiris,0 : 0,Panevėžys,Dariaus ir Girėno stadionas

"2022-10-30, 17:55", ,Panevėžys,3 : 1,Hegelmann,„Aukštaitijos“ stadionas
"2022-10-30, 15:00", ,Žalgiris,6 : 0,Džiugas,LFF stadionas
"2022-10-29, 17:00", ,Šiauliai,2 : 0,Sūduva,Šiaulių sav. stadionas
"2022-10-29, 17:00", ,Jonava,0 : 3,Riteriai,Jonavos m. stadionas
"2022-10-29, 14:00", ,K. Žalgiris,3 : 0,Banga,Dariaus ir Girėno stadionas

"2022-10-23, 17:55", ,Žalgiris,2 : 1,Hegelmann,LFF stadionas
"2022-10-23, 15:00", ,Sūduva,1 : 0,Jonava,Marijampolės futbolo arenos stadionas
"2022-10-23, 15:00", ,K. Žalgiris,1 : 0,Šiauliai,Dariaus ir Girėno stadionas
"2022-10-23, 13:00", ,Džiugas,0 : 0,Panevėžys,Telšių m. centrinis stadionas
"2022-10-21, 18:00", ,Riteriai,2 : 2,Banga,LFF stadionas

"2022-10-19, 20:00", ,Panevėžys,0 : 1,Žalgiris,„Aukštaitijos“ stadionas
"2022-10-19, 18:00", ,Sūduva,0 : 2,K. Žalgiris,Marijampolės futbolo arenos stadionas

"2022-10-15, 18:00", ,Šiauliai,2 : 0,Jonava,Šiaulių sav. stadionas

"2022-10-09, 20:00", ,Banga,1 : 1,Panevėžys,Gargždų m. stadionas
"2022-10-09, 17:55", ,Riteriai,2 : 3,Sūduva,LFF stadionas
"2022-10-09, 15:00", ,Jonava,0 : 4,Žalgiris,Jonavos m. stadionas
"2022-10-09, 13:00", ,K. Žalgiris,1 : 1,Hegelmann,„Kauno Žalgirio“ FA stadionas
"2022-10-08, 13:00", ,Džiugas,1 : 0,Šiauliai,Telšių m. centrinis stadionas

"2022-10-02, 17:55", ,Panevėžys,2 : 0,Sūduva,„Aukštaitijos“ stadionas
"2022-10-01, 17:00", ,Hegelmann,2 : 1,Šiauliai,LFF Kauno treniruočių centro st.
"2022-10-01, 15:00", ,Jonava,0 : 1,Džiugas,Jonavos m. stadionas

"2022-09-27, 19:00", ,Žalgiris,1 : 0,Sūduva,LFF stadionas

"2022-09-18, 19:00", ,Žalgiris,3 : 1,Riteriai,LFF stadionas
"2022-09-18, 17:55", ,Sūduva,2 : 0,Banga,Marijampolės futbolo arenos stadionas
"2022-09-17, 19:00", ,Šiauliai,1 : 0,Panevėžys,Šiaulių sav. stadionas
"2022-09-17, 15:00", ,Džiugas,0 : 1,Hegelmann,Telšių m. centrinis stadionas
"2022-09-16, 18:00", ,K. Žalgiris,2 : 1,Jonava,„Kauno Žalgirio“ FA stadionas

"2022-09-11, 19:00", ,Šiauliai,1 : 1,Banga,Šiaulių sav. stadionas
"2022-09-11, 17:55", ,Riteriai,0 : 0,Hegelmann,LFF stadionas
"2022-09-11, 15:00", ,K. Žalgiris,0 : 2,Žalgiris,„Kauno Žalgirio“ FA stadionas
"2022-09-10, 17:00", ,Jonava,1 : 1,Panevėžys,Jonavos m. stadionas
"2022-09-10, 15:00", ,Džiugas,2 : 1,Sūduva,Telšių m. centrinis stadionas

"2022-09-07, 20:00", ,Panevėžys,0 : 1,Riteriai,„Aukštaitijos“ stadionas
"2022-09-07, 19:00", ,Jonava,0 : 5,Banga,Jonavos m. stadionas
"2022-09-07, 18:00", ,K. Žalgiris,5 : 1,Džiugas,„Kauno Žalgirio“ FA stadionas
"2022-09-06, 20:00", ,Sūduva,2 : 1,Hegelmann,Marijampolės futbolo arenos stadionas

