Date,Home,Away,Location,Winner
1.540746,11,0,LFF Kauno treniruočių centro st.,0.0
1.5410088,0,6,Klaipėdos dirbtinės dangos st.,1.0
1.5410088,12,10,Marijampolės futbolo arenos stadionas,0.0
1.541016,14,11,LFF stadionas,0.0
1.54125,10,6,LFF stadionas,0.0
1.54125,11,12,LFF Kauno treniruočių centro st.,1.0
1.541268,14,0,LFF stadionas,0.5
1.5416136,11,10,LFF Kauno treniruočių centro st.,1.0
1.5416136,14,6,LFF stadionas,0.0
1.5416208,12,0,Marijampolės futbolo arenos stadionas,0.0
1.5419412,12,14,Marijampolės futbolo arenos stadionas,1.0
1.5419412,0,10,Klaipėdos dirbtinės dangos st.,1.0
1.5419412,6,11,LFF Kauno treniruočių centro st.,1.0
1.5515388,0,6,Klaipėdos dirbtinės dangos st.,0.0
1.551546,11,9,LFF Kauno treniruočių centro st.,0.0
1.5516324,12,10,Marijampolės futbolo arenos maniežas,0.0
1.5516414,14,8,„Sportima“,0.0
1.5521364,6,8,LFF Kauno treniruočių centro st.,0.0
1.5521436,9,14,„Žemynos“ progimnazijos stadionas,1.0
1.55223,0,12,Klaipėdos dirbtinės dangos st.,1.0
1.5523326,10,11,„Sportima“,0.5
1.5526782,14,10,„Sportima“,0.5
1.5527484,11,0,LFF Kauno treniruočių centro st.,0.0
1.5527556,12,6,Marijampolės futbolo arenos maniežas,0.0
1.5528348,8,9,Klaipėdos dirbtinės dangos st.,0.5
1.5539508,0,14,Klaipėdos dirbtinės dangos st.,1.0
1.5539508,6,9,LFF Kauno treniruočių centro st.,0.0
1.5540516,11,12,LFF Kauno treniruočių centro st.,0.0
1.5542316,10,8,LFF stadionas,0.0
1.5545556,8,0,Klaipėdos dirbtinės dangos st.,0.0
1.55457,11,6,LFF Kauno treniruočių centro st.,1.0
1.5546564,9,10,„Žemynos“ progimnazijos stadionas,1.0
1.5546636,14,12,LFF stadionas,0.0
1.5551604,6,10,LFF Kauno treniruočių centro st.,0.0
1.5551766,11,14,LFF Kauno treniruočių centro st.,0.0
1.555254,0,9,Klaipėdos dirbtinės dangos st.,0.0
1.5552612,12,8,Marijampolės futbolo arenos stadionas,0.0
1.555695,9,12,„Žemynos“ progimnazijos stadionas,1.0
1.5557004,14,6,LFF stadionas,0.0
1.5557652,8,11,Klaipėdos dirbtinės dangos st.,0.0
1.5557724,10,0,LFF stadionas,0.5
1.55637,9,11,„Žemynos“ progimnazijos stadionas,0.5
1.5563772,8,14,Klaipėdos dirbtinės dangos st.,1.0
1.5563844,6,0,LFF Kauno treniruočių centro st.,0.0
1.5563952,10,12,LFF stadionas,1.0
1.5569892,11,10,LFF Kauno treniruočių centro st.,1.0
1.5570684,8,6,Klaipėdos dirbtinės dangos st.,1.0
1.5570756,12,0,Marijampolės futbolo arenos stadionas,0.0
1.5570828,14,9,LFF stadionas,0.0
1.5575796,10,14,LFF stadionas,0.0
1.5575868,6,12,LFF Kauno treniruočių centro st.,1.0
1.5576696,0,11,Klaipėdos m. centrinis stadionas,0.5
1.5576804,9,8,„Aukštaitijos“ stadionas,0.0
1.5581196,14,0,LFF stadionas,0.0
1.5581988,9,6,„Aukštaitijos“ stadionas,0.5
1.5582024,8,10,Palangos m. stadionas,1.0
