Date,Home,Away,Winner,Prediction,Model Performance
1.6859013,Žalgiris,Šiauliai,0.5,,
1.6858188,Panevėžys,Hegelmann,0.0,,
1.6858116,Banga,Riteriai,0.5,,
1.6858044,Dainava,Sūduva,0.0,,
1.6857288,Džiugas,K. Žalgiris,0.5,,
1.6860744,,,,0.7242295139592113,
1.6860816,,,,0.32274106162500327,
1.6861608,,,,0.6868541302522939,
1.6861644,,,,0.6276877130522595,
1.686168,,,,0.6793032291364494,
