Date,Home,Away,homeResult,awayResult,Winner
2019-03-17 15:00:00,2,8,1,1,10
2019-03-30 13:00:00,4,8,2,0,4
2019-03-30 13:00:00,7,3,0,3,3
2019-03-31 17:00:00,6,0,2,0,6
2019-04-02 19:00:00,1,2,3,1,1
2019-04-06 13:00:00,2,7,2,1,2
2019-04-06 17:00:00,6,4,0,1,4
2019-04-07 17:00:00,8,1,1,2,1
2019-04-07 19:00:00,3,0,1,0,3
2019-04-13 13:00:00,4,1,3,1,4
2019-04-13 17:30:00,6,3,1,0,6
2019-04-14 15:00:00,7,8,2,1,7
2019-04-14 17:00:00,0,2,3,0,0
2019-04-19 17:30:00,8,0,1,2,0
2019-04-19 19:00:00,3,4,3,1,3
2019-04-20 13:00:00,2,6,2,1,2
2019-04-20 15:00:00,1,7,0,0,10
2019-04-27 13:00:00,8,6,1,1,10
2019-04-27 15:00:00,2,3,1,4,3
2019-04-27 17:00:00,4,7,2,1,4
2019-04-27 20:00:00,1,0,1,2,0
2019-05-04 17:00:00,6,1,0,3,1
2019-05-05 15:00:00,2,4,0,3,4
2019-05-05 17:00:00,0,7,4,0,0
2019-05-05 19:00:00,3,8,2,1,3
2019-05-11 13:00:00,1,3,1,0,1
2019-05-11 15:00:00,4,0,0,3,0
2019-05-12 14:00:00,7,6,0,0,10
2019-05-12 17:00:00,8,2,2,1,8
2019-05-17 19:00:00,3,7,3,0,3
2019-05-18 17:00:00,8,4,1,1,10
2019-05-18 18:00:00,2,1,1,3,1
2019-05-18 19:00:00,0,6,2,0,0
2019-05-21 18:00:00,7,2,2,1,7
2019-05-21 20:00:00,1,8,1,1,10
2019-05-22 18:00:00,4,6,4,3,4
2019-05-22 20:00:00,0,3,1,0,0
2019-05-31 19:00:00,3,6,2,1,3
2019-06-01 17:00:00,2,0,0,2,0
2019-06-01 19:00:00,1,4,1,0,1
2019-06-02 18:00:00,8,8,4,1,8
2019-06-14 18:00:00,7,1,2,3,1
2019-06-14 20:00:00,3,3,3,4,3
2019-06-15 17:00:00,6,2,0,3,2
2019-06-15 19:00:00,0,8,2,1,0
2019-06-22 15:00:00,7,4,1,1,10
2019-06-22 17:00:00,6,8,0,3,8
2019-06-22 19:00:00,0,1,1,2,1
2019-06-23 19:00:00,3,2,3,2,3
2019-06-29 16:00:00,3,8,0,2,8
2019-06-29 18:00:00,4,2,4,0,4
2019-06-29 19:00:00,0,7,4,1,0
2019-06-29 20:00:00,1,6,3,0,1
2019-07-03 20:00:00,0,4,3,0,0
2019-07-04 18:00:00,2,8,1,2,8
2019-07-05 19:00:00,3,1,2,1,3
2019-07-06 17:00:00,6,7,0,3,7
2019-08-03 15:00:00,4,8,2,2,10
2019-08-03 17:00:00,1,2,1,0,1
2019-08-03 19:00:00,0,6,3,0,0
2019-08-04 19:00:00,7,3,1,3,3
2019-08-10 19:00:00,1,7,1,1,10
2019-08-11 15:00:00,2,6,3,0,2
2019-08-11 19:00:00,3,4,3,0,3
2019-08-12 18:00:00,8,2,3,1,8
2019-08-17 19:00:00,4,1,1,0,4
2019-08-18 15:00:00,6,3,0,3,3
2019-08-18 17:00:00,7,8,0,2,8
2019-08-23 18:00:00,8,1,4,2,8
2019-08-24 17:00:00,6,4,0,3,4
2019-08-25 18:00:00,2,7,0,2,7
2019-08-31 15:00:00,2,3,0,4,3
2019-08-31 17:00:00,4,7,1,0,4
2019-09-01 18:00:00,8,6,3,0,8
2019-09-13 19:00:00,3,8,5,0,3
2019-09-13 19:00:00,7,0,0,4,0
2019-09-14 15:00:00,2,4,2,3,4
2019-09-14 17:00:00,6,1,0,3,1
2019-09-21 13:00:00,1,3,1,1,10
2019-09-21 15:00:00,4,0,0,2,0
2019-09-21 19:00:00,7,6,3,0,7
2019-09-24 18:00:00,8,0,2,7,0
2019-09-25 17:00:00,2,1,1,3,1
2019-09-25 18:00:00,6,0,0,3,0
2019-09-25 19:00:00,3,7,4,0,3
2019-09-28 18:00:00,8,4,3,3,10
2019-10-02 18:30:00,0,2,5,0,0
2019-10-05 13:00:00,3,3,1,2,3
2019-10-05 15:00:00,7,1,2,1,7
2019-10-05 17:00:00,6,2,0,3,2
2019-10-05 19:00:00,0,8,3,1,0
2019-10-12 15:00:00,2,0,0,4,0
2019-10-15 19:30:00,1,0,1,2,0
2019-10-19 13:00:00,1,4,0,0,10
2019-10-19 17:00:00,8,8,1,1,10
2019-10-19 19:00:00,3,6,3,0,3
2019-10-20 19:00:00,3,0,1,3,0
2019-10-26 13:00:00,4,6,3,0,4
2019-10-26 13:00:00,0,3,1,0,0
2019-10-26 13:00:00,1,8,4,0,1
2019-10-26 13:00:00,7,2,0,1,2
2019-10-30 18:00:00,0,7,9,1,0
2019-10-30 19:00:00,3,8,3,1,3
2019-10-31 19:00:00,1,4,0,1,4
2019-11-03 17:00:00,8,0,1,5,0
2019-11-04 18:00:00,3,3,1,2,3
2019-11-04 19:00:00,1,7,5,2,1
2019-11-08 18:00:00,7,8,1,4,8
2019-11-08 19:00:00,3,1,1,3,1
2019-11-09 13:00:00,0,4,4,1,0
2019-11-22 19:00:00,3,7,5,0,3
2019-11-23 13:00:00,4,8,1,0,4
2019-11-23 13:00:00,1,0,5,1,1
2019-11-27 19:00:00,8,1,2,0,8
2019-11-27 19:00:00,0,3,2,1,0
2019-11-27 19:00:00,7,4,0,2,4
2020-03-06 19:30:00,3,8,4,0,3
2020-03-07 17:00:00,9,9,1,0,9
2020-03-08 18:00:00,1,4,0,3,4
2020-05-30 15:00:00,3,1,0,1,1
2020-05-30 17:00:00,9,8,2,0,9
2020-06-01 18:00:00,0,4,1,0,0
2020-06-06 13:00:00,4,4,0,1,4
2020-06-06 17:00:00,8,0,1,3,0
2020-06-07 17:00:00,1,9,0,1,9
2020-06-13 13:00:00,4,8,2,0,4
2020-06-13 17:00:00,9,3,0,1,3
2020-06-14 17:00:00,1,0,1,3,0
2020-06-19 19:00:00,1,8,1,1,10
2020-06-20 17:00:00,9,4,1,1,10
2020-06-20 19:00:00,0,3,1,1,10
2020-06-24 17:00:00,0,8,3,0,0
2020-06-24 19:00:00,3,4,2,3,4
2020-06-24 20:00:00,9,1,1,1,10
2020-06-28 15:00:00,4,0,0,1,0
2020-06-28 17:00:00,1,3,0,7,3
2020-06-28 19:00:00,8,9,2,1,8
2020-07-03 18:00:00,3,9,0,0,10
2020-07-03 20:00:00,8,4,0,2,4
2020-07-04 19:00:00,0,1,1,0,0
2020-07-11 15:00:00,9,4,2,0,9
2020-07-11 18:00:00,8,1,2,1,8
2020-07-12 17:00:00,3,0,4,0,3
2020-07-18 13:00:00,4,1,2,1,4
2020-07-19 17:00:00,8,3,1,2,3
2020-07-19 19:00:00,9,0,0,2,0
2020-07-23 18:00:00,4,8,3,2,4
2020-07-23 19:00:00,9,9,0,0,10
2020-07-23 20:00:00,3,1,1,0,3
2020-07-28 18:00:00,9,4,2,3,4
2020-07-28 19:00:00,8,3,1,2,3
2020-07-28 20:00:00,1,0,1,2,0
2020-08-01 17:00:00,9,1,1,1,10
2020-08-02 17:00:00,0,8,1,0,0
2020-08-02 19:00:00,3,4,3,1,3
2020-08-07 18:00:00,3,9,1,0,3
2020-08-07 20:00:00,4,0,3,0,4
2020-08-08 17:00:00,8,1,1,1,10
2020-08-12 19:00:00,0,3,2,0,0
2020-08-14 19:00:00,1,4,0,1,4
2020-08-16 17:00:00,9,8,3,3,10
2020-08-20 18:00:00,8,4,0,1,4
2020-08-20 20:00:00,1,3,2,2,10
2020-09-27 15:00:00,9,4,1,2,4
2020-09-27 17:00:00,3,8,3,2,3
2020-09-27 19:00:00,0,1,7,1,0
2020-10-02 19:00:00,1,9,4,0,1
2020-10-03 15:00:00,4,4,0,1,4
2020-10-03 17:00:00,8,0,1,1,10
2020-10-10 17:00:00,9,0,1,2,0
2020-10-20 18:00:00,9,3,0,4,3
2020-10-20 20:00:00,0,4,1,1,10
2020-10-28 18:30:00,1,8,1,1,10
2020-10-31 17:00:00,4,1,1,0,4
2020-10-31 17:00:00,8,9,1,1,10
2020-11-14 15:00:00,3,0,3,0,3
2021-03-05 18:00:00,4,9,1,0,4
2021-03-06 13:00:00,10,12,2,1,10
2021-03-06 15:00:00,11,13,0,2,13
2021-03-07 15:00:00,0,8,0,1,8
2021-03-12 18:00:00,0,12,2,0,0
2021-03-13 15:00:00,3,11,2,2,10
2021-03-14 13:00:00,4,13,5,0,4
2021-03-14 15:00:00,8,10,1,0,8
2021-03-16 17:00:00,3,1,2,0,3
2021-03-19 18:00:00,0,13,1,0,0
2021-03-20 13:00:00,4,1,2,1,4
2021-03-20 15:00:00,8,9,4,2,8
2021-03-20 19:00:00,3,12,2,0,3
2021-03-21 15:00:00,11,10,1,1,10
2021-04-02 17:00:00,12,13,2,0,12
2021-04-02 18:00:00,1,11,2,2,10
2021-04-02 20:00:00,9,0,1,2,0
2021-04-03 16:00:00,10,4,1,1,10
2021-04-07 18:00:00,0,4,2,1,0
2021-04-07 20:00:00,3,9,2,0,3
2021-04-08 17:00:00,10,13,3,0,10
2021-04-08 18:00:00,12,1,2,0,12
2021-04-09 18:00:00,11,8,1,3,8
2021-04-11 15:00:00,4,4,0,1,4
2021-04-12 18:00:00,0,10,2,1,0
2021-04-12 20:00:00,1,13,4,0,1
2021-04-13 17:00:00,8,12,2,2,10
2021-04-13 19:00:00,9,11,2,0,9
2021-04-16 17:00:00,10,1,1,4,1
2021-04-16 18:00:00,3,0,1,2,0
2021-04-16 20:00:00,11,4,0,1,4
2021-04-17 13:00:00,8,13,4,2,8
2021-04-17 15:00:00,12,9,0,1,9
2021-04-20 17:00:00,3,10,2,2,10
2021-04-20 19:00:00,0,11,3,1,0
2021-04-20 21:00:00,1,8,2,0,1
2021-04-21 18:00:00,12,4,2,3,4
2021-04-21 20:00:00,9,13,5,2,9
2021-04-23 18:00:00,1,3,1,1,10
2021-04-24 17:00:00,12,10,1,1,10
2021-04-24 19:00:00,13,11,0,1,11
2021-04-25 13:00:00,9,4,1,5,4
2021-04-25 15:00:00,8,0,0,0,10
2021-04-29 17:00:00,10,8,0,2,8
2021-04-29 18:00:00,13,4,1,2,4
2021-04-29 19:00:00,9,1,0,2,1
2021-04-30 17:00:00,12,0,0,1,0
2021-04-30 18:00:00,3,11,5,1,3
2021-05-03 17:00:00,10,9,1,1,10
2021-05-03 18:00:00,8,4,2,1,8
2021-05-04 18:00:00,12,11,0,1,11
2021-05-04 20:00:00,13,3,0,3,3
2021-05-05 18:00:00,0,1,2,0,0
2021-05-07 18:00:00,9,8,2,2,10
2021-05-08 13:00:00,12,3,2,1,12
2021-05-08 15:00:00,11,11,2,3,11
2021-05-09 13:00:00,1,4,1,2,4
2021-05-09 19:00:00,13,0,0,2,0
2021-05-11 18:00:00,8,3,0,2,3
2021-05-14 18:00:00,3,8,1,0,3
2021-05-14 19:00:00,13,12,0,1,12
2021-05-14 20:00:00,11,1,1,1,10
2021-05-15 13:00:00,4,10,1,0,4
2021-05-16 15:00:00,0,9,4,0,0
2021-05-19 18:00:00,1,12,1,3,12
2021-05-19 19:00:00,13,10,2,1,13
2021-05-19 20:00:00,8,11,3,0,8
2021-05-20 18:00:00,4,0,1,0,4
2021-05-20 20:00:00,9,3,1,3,3
2021-05-27 18:00:00,10,0,2,1,10
2021-05-27 20:00:00,13,1,0,0,10
2021-05-28 18:00:00,3,4,2,2,10
2021-05-28 19:00:00,12,8,0,0,10
2021-05-29 15:30:00,11,9,3,1,11
2021-06-11 18:00:00,0,3,0,2,3
2021-06-11 20:00:00,9,12,0,2,12
2021-06-12 15:00:00,11,4,1,0,11
2021-06-12 17:00:00,13,8,0,1,8
2021-06-12 19:00:00,1,10,1,1,10
2021-06-15 18:00:00,1,9,3,0,1
2021-06-18 18:00:00,10,3,0,3,3
2021-06-18 20:00:00,13,9,0,2,9
2021-06-19 19:00:00,11,0,1,1,10
2021-06-20 17:00:00,8,1,1,1,10
2021-06-20 19:00:00,4,12,2,2,10
2021-06-25 18:00:00,1,0,1,1,10
2021-06-26 15:00:00,11,12,1,2,12
2021-06-26 17:00:00,4,8,1,2,8
2021-06-27 15:00:00,3,13,2,0,3
2021-06-27 17:00:00,9,10,1,0,9
2021-07-01 19:00:00,11,8,1,2,8
2021-07-02 18:00:00,1,3,0,0,10
2021-07-02 20:00:00,13,4,1,1,10
2021-07-02 20:00:00,9,0,0,2,0
2021-07-03 17:00:00,10,12,2,1,10
2021-07-09 18:00:00,11,13,1,1,10
2021-07-10 19:00:00,10,1,2,0,10
2021-07-11 19:00:00,12,9,4,1,12
2021-07-16 18:00:00,10,9,1,1,10
2021-07-17 19:00:00,12,13,2,0,12
2021-07-19 20:00:00,11,1,2,1,11
2021-07-23 18:00:00,1,10,3,2,1
2021-07-23 20:00:00,9,12,1,4,12
2021-07-25 19:00:00,13,11,0,1,11
2021-07-30 18:00:00,9,10,2,1,9
2021-07-31 17:00:00,13,12,0,6,12
2021-08-01 17:00:00,1,11,2,1,1
2021-08-02 19:00:00,4,0,3,3,10
2021-08-06 18:00:00,10,13,2,0,10
2021-08-06 20:00:00,4,1,1,1,10
2021-08-07 17:00:00,12,11,1,1,10
2021-08-07 19:00:00,0,8,3,0,0
2021-08-09 19:00:00,3,9,3,0,3
2021-08-11 19:00:00,0,4,2,0,0
2021-08-13 18:00:00,8,9,3,1,8
2021-08-15 13:00:00,1,0,1,3,0
2021-08-15 17:00:00,4,12,2,1,4
2021-08-20 18:00:00,11,4,0,1,4
2021-08-21 15:00:00,10,8,2,2,10
2021-08-21 17:00:00,9,1,1,1,10
2021-08-22 17:00:00,12,3,1,1,10
2021-08-22 19:00:00,0,13,2,0,0
2021-08-25 18:00:00,8,4,4,0,8
2021-08-27 18:00:00,0,12,1,2,12
2021-08-28 17:00:00,13,9,0,3,9
2021-08-29 17:00:00,8,1,0,2,1
2021-08-29 19:00:00,11,3,2,4,3
2021-09-10 18:00:00,1,12,0,0,10
2021-09-11 15:00:00,10,0,2,3,0
2021-09-11 19:00:00,13,8,1,3,8
2021-09-12 17:00:00,11,9,3,1,11
2021-09-12 19:00:00,4,4,0,2,4
2021-09-15 19:00:00,8,3,1,1,10
2021-09-17 18:00:00,11,0,1,2,0
2021-09-18 15:00:00,10,3,2,1,10
2021-09-18 17:00:00,9,4,2,3,4
2021-09-19 13:00:00,12,8,1,0,12
2021-09-19 15:00:00,1,13,4,0,1
2021-09-24 18:00:00,8,11,0,0,10
2021-09-25 13:00:00,4,13,2,0,4
2021-09-25 19:00:00,3,1,1,1,10
2021-09-26 13:00:00,12,10,1,1,10
2021-09-26 15:00:00,0,9,4,0,0
2021-10-01 18:00:00,1,4,0,0,10
2021-10-02 13:00:00,13,10,1,1,10
2021-10-02 15:00:00,11,12,1,1,10
2021-10-03 13:00:00,8,0,1,1,10
2021-10-03 15:00:00,9,3,0,3,3
2021-10-14 19:00:00,3,13,6,0,3
2021-10-15 18:00:00,0,1,1,1,10
2021-10-16 13:00:00,12,4,1,2,4
2021-10-16 15:00:00,11,11,1,1,10
2021-10-17 15:00:00,9,8,2,1,9
2021-10-18 17:00:00,13,3,1,3,3
2021-10-20 18:00:00,4,10,0,1,10
2021-10-24 17:00:00,11,10,3,2,11
2021-10-27 18:00:00,4,8,1,1,10
2021-10-27 20:00:00,3,0,3,2,3
2021-10-29 18:00:00,1,9,0,0,10
2021-10-30 13:00:00,13,0,0,3,0
2021-10-30 19:00:00,3,12,2,1,3
2021-10-31 13:00:00,11,4,2,0,11
2021-10-31 15:00:00,8,10,2,2,10
2021-11-03 18:00:00,0,3,2,2,10
2021-11-05 18:00:00,1,8,1,2,8
2021-11-06 13:00:00,10,4,1,5,4
2021-11-07 13:00:00,12,0,2,1,12
2021-11-07 15:00:00,11,3,0,2,3
2021-11-19 18:00:00,3,4,0,0,10
2021-11-19 20:00:00,9,11,1,1,10
2021-11-20 13:00:00,12,1,0,0,10
2021-11-20 17:00:00,0,10,3,1,0
2021-11-21 13:00:00,8,13,3,0,8
2021-11-24 18:00:00,9,13,3,1,9
2021-11-24 19:00:00,3,8,2,0,3
2021-11-28 15:00:00,8,12,2,2,10
2021-11-28 15:00:00,13,1,0,6,1
2021-11-28 15:00:00,4,9,0,1,9
2021-11-28 15:00:00,0,11,0,1,11
2021-11-28 15:00:00,3,10,3,2,3
2022-04-02 17:00:00,4,3,2,2,10
2022-04-03 17:30:00,9,14,0,0,10
2022-04-05 18:00:00,5,4,0,2,4
2022-04-05 19:00:00,3,8,0,0,10
2022-04-05 20:00:00,0,10,1,1,10
2022-04-06 18:00:00,12,9,2,0,12
2022-04-06 20:00:00,14,1,1,0,14
2022-04-09 13:00:00,8,5,4,0,8
2022-04-10 13:00:00,4,14,0,0,10
2022-04-10 15:00:00,1,9,1,0,1
2022-04-10 17:30:00,0,12,0,1,12
2022-04-13 14:30:00,10,3,3,5,3
2022-04-15 18:00:00,9,4,3,1,9
2022-04-16 13:00:00,12,1,1,1,10
2022-04-16 15:00:00,14,8,0,3,8
2022-04-16 17:00:00,5,10,0,1,10
2022-04-17 17:30:00,3,0,0,0,10
2022-04-22 18:00:00,4,1,0,1,1
2022-04-23 13:00:00,9,8,2,0,9
2022-04-23 15:00:00,10,14,0,0,10
2022-04-23 17:00:00,12,3,2,2,10
2022-04-24 17:30:00,0,5,2,0,0
2022-04-26 18:00:00,10,9,0,0,10
2022-04-26 20:00:00,4,12,1,3,12
2022-04-27 18:00:00,5,3,0,5,3
2022-04-27 18:00:00,8,1,3,0,8
2022-04-27 20:00:00,0,14,2,0,0
2022-04-30 13:00:00,12,5,4,0,12
2022-04-30 17:00:00,4,8,2,1,4
2022-04-30 19:00:00,14,3,0,1,3
2022-05-01 15:00:00,9,0,0,1,0
2022-05-01 17:30:00,1,10,3,0,1
2022-05-03 18:00:00,5,14,0,3,14
2022-05-03 18:00:00,8,12,1,1,10
2022-05-04 18:00:00,10,4,1,2,4
2022-05-04 19:00:00,0,1,1,1,10
2022-05-04 20:00:00,3,9,2,1,3
2022-05-14 13:00:00,4,0,0,3,0
2022-05-14 15:00:00,1,3,0,1,3
2022-05-14 17:00:00,9,5,1,1,10
2022-05-15 15:00:00,8,10,1,0,8
2022-05-15 17:30:00,14,12,0,0,10
2022-05-21 15:00:00,12,10,2,0,12
2022-05-21 19:00:00,0,8,2,1,0
2022-05-22 15:00:00,14,9,1,1,10
2022-05-22 17:30:00,3,4,1,2,4
2022-05-29 17:30:00,5,1,0,1,1
2022-06-17 18:00:00,9,12,1,0,9
2022-06-18 17:00:00,10,0,2,2,10
2022-06-18 19:00:00,1,14,1,1,10
2022-06-19 15:00:00,4,5,4,0,4
2022-06-19 17:55:00,8,8,0,2,8
2022-06-21 18:00:00,12,0,2,2,10
2022-06-21 20:00:00,9,1,0,4,1
2022-06-22 18:00:00,5,8,0,5,8
2022-06-22 19:00:00,14,4,0,1,4
2022-06-22 20:00:00,3,10,2,1,3
2022-06-25 17:00:00,8,14,1,2,14
2022-06-25 19:00:00,1,12,0,3,12
2022-06-26 15:00:00,10,5,2,0,10
2022-06-26 17:55:00,0,3,0,5,3
2022-06-26 20:00:00,9,9,1,1,10
2022-07-01 19:00:00,3,12,2,1,3
2022-07-02 16:00:00,5,0,0,4,0
2022-07-02 18:00:00,9,8,1,2,8
2022-07-02 20:00:00,1,4,1,1,10
2022-07-03 17:55:00,14,10,3,2,14
2022-07-09 17:00:00,12,9,5,0,12
2022-07-09 19:00:00,0,14,2,1,0
2022-07-10 17:55:00,10,1,1,4,1
2022-07-15 18:00:00,14,1,3,2,14
2022-07-16 18:00:00,12,5,6,0,12
2022-07-17 17:55:00,10,9,0,1,9
2022-07-22 18:00:00,1,10,2,1,1
2022-07-23 17:00:00,8,4,2,1,8
2022-07-23 19:00:00,5,14,1,3,14
2022-07-24 17:55:00,9,12,1,1,10
2022-07-29 18:00:00,9,10,1,1,10
2022-07-30 18:00:00,1,14,3,1,1
2022-07-31 17:55:00,5,12,0,1,12
2022-08-02 18:00:00,4,0,2,2,10
2022-08-05 18:00:00,14,12,0,0,10
2022-08-06 15:00:00,10,5,2,2,10
2022-08-06 17:00:00,3,9,2,1,3
2022-08-07 15:00:00,4,1,2,0,4
2022-08-07 17:55:00,0,8,4,1,0
2022-08-12 18:00:00,12,10,5,0,12
2022-08-13 17:00:00,5,4,1,2,4
2022-08-13 19:00:00,8,14,1,2,14
2022-08-14 17:55:00,1,3,1,5,3
2022-08-14 20:00:00,9,0,0,0,10
2022-08-20 17:00:00,12,4,1,1,10
2022-08-20 19:00:00,14,10,2,2,10
2022-08-21 17:55:00,9,8,2,1,9
2022-08-21 19:00:00,3,5,3,1,3
2022-08-21 20:00:00,0,1,2,1,0
2022-08-26 18:00:00,9,1,0,1,1
2022-08-27 17:00:00,5,0,0,2,0
2022-08-27 19:00:00,8,10,3,2,8
2022-08-28 17:55:00,14,4,0,3,4
2022-08-28 19:00:00,12,3,1,4,3
2022-09-02 18:00:00,12,8,1,1,10
2022-09-03 15:00:00,10,3,1,1,10
2022-09-03 17:00:00,1,5,2,1,1
2022-09-04 17:55:00,9,4,0,1,4
2022-09-06 20:00:00,0,12,2,1,0
2022-09-07 18:00:00,4,10,5,1,4
2022-09-07 19:00:00,5,9,0,5,9
2022-09-07 20:00:00,8,1,0,1,1
2022-09-10 15:00:00,10,0,2,1,10
2022-09-10 17:00:00,5,8,1,1,10
2022-09-11 15:00:00,4,3,0,2,3
