Date,Home,Away,homeResult,awayResult,Winner
2022-09-11 17:55:00,1,12,0,0,10
2022-09-11 19:00:00,14,9,1,1,10
2022-09-16 18:00:00,4,5,2,1,4
2022-09-17 15:00:00,10,12,0,1,12
2022-09-17 19:00:00,14,8,1,0,14
2022-09-18 17:55:00,0,9,2,0,0
2022-09-18 19:00:00,3,1,3,1,3
2022-09-27 19:00:00,3,0,1,0,3
2022-10-01 15:00:00,5,10,0,1,10
2022-10-01 17:00:00,12,14,2,1,12
2022-10-02 17:55:00,8,0,2,0,8
2022-10-08 13:00:00,10,14,1,0,10
2022-10-09 13:00:00,4,12,1,1,10
2022-10-09 15:00:00,5,3,0,4,3
2022-10-09 17:55:00,1,0,2,3,0
2022-10-09 20:00:00,9,8,1,1,10
2022-10-15 18:00:00,14,5,2,0,14
2022-10-19 18:00:00,0,4,0,2,4
2022-10-19 20:00:00,8,8,0,1,8
2022-10-21 18:00:00,1,9,2,2,10
2022-10-23 13:00:00,10,8,0,0,10
2022-10-23 15:00:00,4,14,1,0,4
2022-10-23 15:00:00,0,5,1,0,0
2022-10-23 17:55:00,3,12,2,1,3
2022-10-29 14:00:00,9,9,3,0,9
2022-10-29 17:00:00,5,1,0,3,1
2022-10-29 17:00:00,14,0,2,0,14
2022-10-30 15:00:00,3,10,6,0,3
2022-10-30 17:55:00,8,12,3,1,8
2022-11-05 14:00:00,4,8,0,0,10
2022-11-06 17:55:00,0,3,1,2,3
2022-11-08 19:30:00,1,4,2,0,1
2022-11-09 19:00:00,3,8,0,1,8
2022-11-11 18:00:00,9,5,2,0,9
2022-11-13 13:00:00,12,0,2,0,12
2022-11-13 13:00:00,10,4,0,3,4
2022-11-13 17:55:00,14,3,3,0,14
2022-11-13 19:30:00,1,8,2,1,1
2022-11-17 18:00:00,9,3,0,2,3
2022-11-20 17:55:00,3,14,5,0,3
2022-11-23 19:00:00,0,10,1,1,10
2022-11-23 19:00:00,8,5,2,1,8
2022-11-23 19:00:00,12,1,2,2,10
2022-11-23 19:00:00,9,14,2,3,14
2022-11-23 19:00:00,3,4,2,3,4
2023-03-03 19:30:00,1,14,0,1,14
2023-03-04 17:00:00,0,4,2,4,4
2023-03-04 20:00:00,12,11,3,0,12
2023-03-05 15:00:00,9,8,0,4,8
2023-03-05 17:55:00,3,10,2,3,10
2023-03-10 19:30:00,4,14,0,0,10
2023-03-11 13:00:00,0,12,2,0,0
2023-03-11 17:30:00,3,9,1,0,3
2023-03-12 15:00:00,10,11,0,1,11
2023-03-12 17:55:00,1,8,0,4,8
2023-03-14 18:00:00,14,12,3,1,14
2023-03-14 20:00:00,4,3,1,1,10
2023-03-15 18:00:00,9,10,2,0,9
2023-03-15 19:00:00,0,8,0,2,8
2023-03-15 19:30:00,1,11,0,0,10
2023-03-18 15:00:00,12,10,2,0,12
2023-03-18 17:00:00,11,9,2,1,11
2023-03-19 13:00:00,8,4,2,1,8
2023-03-19 15:00:00,14,0,3,0,14
2023-03-19 17:55:00,3,1,1,0,3
2023-03-31 18:00:00,9,12,0,5,12
2023-04-01 13:00:00,8,14,3,1,8
2023-04-01 15:00:00,10,1,1,1,10
2023-04-01 19:00:00,3,0,4,0,3
2023-04-02 17:55:00,11,4,0,0,10
2023-04-04 18:00:00,8,12,2,4,12
2023-04-04 18:00:00,14,3,1,0,14
2023-04-05 18:00:00,4,10,3,1,4
2023-04-05 19:00:00,1,9,0,0,10
2023-04-05 20:00:00,0,11,2,0,0
2023-04-08 15:00:00,8,3,0,0,10
2023-04-08 17:00:00,11,14,0,0,10
2023-04-09 13:00:00,12,1,0,1,1
2023-04-09 15:00:00,10,0,0,2,0
2023-04-09 17:55:00,9,4,0,2,4
2023-04-14 18:00:00,0,9,0,2,9
2023-04-15 13:00:00,8,11,0,0,10
2023-04-15 15:00:00,14,10,2,0,14
2023-04-15 17:00:00,4,1,3,1,4
2023-04-16 17:55:00,3,12,1,0,3
2023-04-18 18:00:00,9,14,0,1,14
2023-04-18 20:00:00,1,0,1,0,1
2023-04-19 18:00:00,10,8,0,3,8
2023-04-19 19:00:00,12,4,3,2,12
2023-04-19 20:00:00,11,3,0,2,3
2023-04-22 17:00:00,14,1,1,1,10
2023-04-23 13:00:00,10,3,0,2,3
2023-04-23 15:00:00,11,12,1,0,11
2023-04-23 17:55:00,4,0,3,0,4
2023-04-24 18:00:00,8,9,2,0,8
2023-04-28 18:00:00,12,0,6,0,12
2023-04-29 13:00:00,8,1,3,1,8
2023-04-29 17:00:00,11,10,2,2,10
2023-04-29 18:00:00,14,4,1,0,14
2023-04-30 17:55:00,9,3,0,2,3
